Duration,AOI,Question
.6,kod,T2_K_Q1
.9,pitanje,T2_K_Q1
.6,prazno,T2_K_Q1
1.4,pitanje,T2_K_Q1
.3,pitanje-kod,T2_K_Q1
1.0,kod,T2_K_Q1
1.1,pitanje,T2_K_Q1
.3,kod,T2_K_Q1
1.4,pitanje,T2_K_Q1
4.9,kod,T2_K_Q1
.3,pitanje,T2_K_Q1
.7,kod,T2_K_Q1
.3,pitanje,T2_K_Q1
.6,kod,T2_K_Q1
1.0,pitanje,T2_K_Q1
.5,kod,T2_K_Q1
2.7,pitanje,T2_K_Q1
.2,kod,T2_K_Q1
.7,pitanje,T2_K_Q1
.8,kod,T2_K_Q1
.6,pitanje,T2_K_Q1
.4,pitanje-kod,T2_K_Q1
.9,kod,T2_K_Q1
.5,pitanje,T2_K_Q1
3.3,kod,T2_K_Q1
.3,pitanje,T2_K_Q1
8.4,kod,T2_K_Q1
.4,pitanje,T2_K_Q1
15.9,kod,T2_K_Q1
.2,pitanje,T2_K_Q1
7.5,kod,T2_K_Q1
1.4,pitanje,T2_K_Q1
2.9,kod,T2_K_Q1
.6,pitanje,T2_K_Q1
5.4,kod,T2_K_Q1
.4,pitanje,T2_K_Q1
1.8,kod,T2_K_Q1
1.3,odgovori,T2_K_Q1
1.9,kod,T2_K_Q1
.5,odgovori,T2_K_Q1
.7,sledece,T2_K_Q1
