Duration,AOI,Question
2.5,kod,T1_F_Q2
.5,pitanje,T1_F_Q2
1.1,kod,T1_F_Q2
1.7,prazno,T1_F_Q2
.8,pitanje,T1_F_Q2
.3,kod,T1_F_Q2
.6,pitanje,T1_F_Q2
11.2,kod,T1_F_Q2
.2,prazno,T1_F_Q2
.6,pitanje,T1_F_Q2
.7,prazno,T1_F_Q2
7.5,kod,T1_F_Q2
3.1,odgovori,T1_F_Q2
1.5,kod,T1_F_Q2
.4,odgovori,T1_F_Q2
1.1,kod,T1_F_Q2
.8,odgovori,T1_F_Q2
.3,kod,T1_F_Q2
3.4,pitanje,T1_F_Q2
13.4,kod,T1_F_Q2
3.1,odgovori,T1_F_Q2
.9,kod,T1_F_Q2
2.1,odgovori,T1_F_Q2
2.7,kod,T1_F_Q2
1.4,odgovori,T1_F_Q2
.9,kod,T1_F_Q2
2.3,odgovori,T1_F_Q2
6.6,kod,T1_F_Q2
.6,odgovori,T1_F_Q2
9.6,kod,T1_F_Q2
2.3,odgovori,T1_F_Q2
1.6,kod,T1_F_Q2
1.6,odgovori,T1_F_Q2
3.4,kod,T1_F_Q2
6.4,odgovori,T1_F_Q2
1.1,kod,T1_F_Q2
.6,odgovori,T1_F_Q2
.9,sledece,T1_F_Q2
