Duration,AOI,Question
.8,kod,T2_S_Q25
4.4,pitanje,T2_S_Q25
39.5,kod,T2_S_Q25
.3,pitanje-kod,T2_S_Q25
3.5,pitanje,T2_S_Q25
7.3,kod,T2_S_Q25
3.2,odgovori,T2_S_Q25
.5,kod,T2_S_Q25
4.8,pitanje,T2_S_Q25
.4,kod,T2_S_Q25
.4,pitanje,T2_S_Q25
8.3,kod,T2_S_Q25
8.7,odgovori,T2_S_Q25
3.0,kod,T2_S_Q25
.8,odgovori,T2_S_Q25
.5,kod,T2_S_Q25
1.3,odgovori,T2_S_Q25
6.1,kod,T2_S_Q25
.8,odgovori,T2_S_Q25
1.7,kod,T2_S_Q25
2.2,odgovori,T2_S_Q25
.9,kod,T2_S_Q25
.5,sledece,T2_S_Q25
.6,odgovori,T2_S_Q25
.8,sledece,T2_S_Q25
