Duration,AOI,Question
1.1,kod,T2_S_Q2
2.7,pitanje,T2_S_Q2
1.0,kod,T2_S_Q2
.3,pitanje-kod,T2_S_Q2
2.1,kod,T2_S_Q2
.3,pitanje,T2_S_Q2
7.3,kod,T2_S_Q2
.3,odgovori,T2_S_Q2
.4,kod,T2_S_Q2
.9,pitanje,T2_S_Q2
.3,odgovori,T2_S_Q2
17.9,kod,T2_S_Q2
.9,odgovori,T2_S_Q2
6.4,kod,T2_S_Q2
2.4,odgovori,T2_S_Q2
33.6,kod,T2_S_Q2
4.9,odgovori,T2_S_Q2
.9,kod,T2_S_Q2
2.1,odgovori,T2_S_Q2
1.5,kod,T2_S_Q2
1.5,odgovori,T2_S_Q2
1.2,kod,T2_S_Q2
.9,odgovori,T2_S_Q2
1.2,kod,T2_S_Q2
1.0,odgovori,T2_S_Q2
1.5,kod,T2_S_Q2
3.5,odgovori,T2_S_Q2
6.3,kod,T2_S_Q2
1.6,odgovori,T2_S_Q2
11.3,kod,T2_S_Q2
1.9,odgovori,T2_S_Q2
6.4,kod,T2_S_Q2
2.8,odgovori,T2_S_Q2
7.3,kod,T2_S_Q2
.8,odgovori,T2_S_Q2
3.7,kod,T2_S_Q2
1.1,sledece,T2_S_Q2
